Name,xcoord,ycoord
River,36.929249,0.368909
River,36.928913,0.36944
River,36.928769,0.370164
River,36.928817,0.371033
River,36.928721,0.372433
River,36.928913,0.37364
River,36.92896,0.374751
River,36.92896,0.376006
River,36.92896,0.37731
River,36.928816,0.378179
River,36.928384,0.378179
River,36.928048,0.377793
River,36.927665,0.377696
River,36.927329,0.377985
River,36.926993,0.37842
River,36.926513,0.378903
River,36.926034,0.379144
River,36.925458,0.379144
River,36.924882,0.379289
River,36.924163,0.379578
River,36.923635,0.380254
River,36.923491,0.380833
River,36.923635,0.381461
River,36.923587,0.382089
River,36.923539,0.382909
River,36.923538,0.383827
River,36.923442,0.384406
River,36.923011,0.384841
River,36.922339,0.384985
River,36.921811,0.38513
River,36.920996,0.385613
River,36.920564,0.385999
River,36.920564,0.386337
River,36.920852,0.386723
River,36.921331,0.387013
River,36.921619,0.387255
River,36.921667,0.387641
River,36.921571,0.388268
River,36.921331,0.388703
River,36.921283,0.389089
River,36.921427,0.389427
River,36.921666,0.389669
River,36.921906,0.38991
River,36.921954,0.390393
River,36.92181,0.391021
River,36.921474,0.391793
River,36.921138,0.392179
River,36.920659,0.392179
River,36.920323,0.392421
River,36.920227,0.392855
River,36.920035,0.393579
River,36.919843,0.3944
River,36.919651,0.395172
River,36.919219,0.395655
River,36.919123,0.396186
River,36.919219,0.396911
River,36.919266,0.397538
River,36.91941,0.398601
River,36.919506,0.399325
River,36.919506,0.399759
River,36.918882,0.400242
River,36.91821,0.400821
River,36.917395,0.401304
River,36.91658,0.401931
River,36.916148,0.402366
River,36.915812,0.403138
River,36.915428,0.404007
River,36.915236,0.405021
River,36.914804,0.40618
River,36.914708,0.407194
River,36.914468,0.408352
River,36.913988,0.409366
River,36.913556,0.41009
River,36.91298,0.410766
River,36.912404,0.411345
River,36.911877,0.411635
River,36.911397,0.411973
River,36.911349,0.412504
River,36.911829,0.412939
River,36.912404,0.413422
River,36.912979,0.413808
River,36.913363,0.414532
River,36.91365,0.415257
River,36.913746,0.415884
River,36.91365,0.416416
River,36.913266,0.416898
River,36.913026,0.417719
River,36.912978,0.418347
River,36.913074,0.419023
River,36.912882,0.419699
River,36.91245,0.420133
River,36.911922,0.420423
River,36.911347,0.420567
River,36.910579,0.420567
River,36.909332,0.420615
River,36.908325,0.421098
River,36.907558,0.421628
River,36.906982,0.422353
River,36.906214,0.42327
River,36.905447,0.42409
River,36.905111,0.425152
River,36.904919,0.426166
River,36.904295,0.426939
River,36.902904,0.427759
River,36.901849,0.428193
River,36.901848,0.428483
River,36.901944,0.429111
River,36.902232,0.429594
River,36.90228,0.430173
River,36.902519,0.430656
River,36.902231,0.431235
River,36.901752,0.431621
River,36.901224,0.432104
River,36.901224,0.432683
River,36.901368,0.433166
River,36.901655,0.433698
River,36.901991,0.434132
River,36.901991,0.43447
River,36.774193,0.477463
River,36.774685,0.477817
River,36.775247,0.4781
River,36.776161,0.4781
River,36.776582,0.477959
River,36.776723,0.477464
River,36.777004,0.477039
River,36.777356,0.476969
River,36.777497,0.476403
River,36.777989,0.475908
River,36.778551,0.475695
River,36.779395,0.475271
River,36.780027,0.474988
River,36.780801,0.474706
River,36.781363,0.474352
River,36.781925,0.473998
River,36.782277,0.474069
River,36.78305,0.474282
River,36.783471,0.474353
River,36.783823,0.474494
River,36.784385,0.474636
River,36.785018,0.474848
River,36.78565,0.474849
River,36.786353,0.474849
River,36.786845,0.474637
River,36.787337,0.474425
River,36.787899,0.474354
River,36.788391,0.474567
River,36.788532,0.474779
River,36.788883,0.47492
River,36.789305,0.474779
River,36.789727,0.474638
River,36.790149,0.474284
River,36.7905,0.47393
River,36.790852,0.47386
River,36.791484,0.474001
River,36.791906,0.474072
River,36.792257,0.474285
River,36.792749,0.474285
River,36.793803,0.474356
River,36.794366,0.474427
River,36.79549,0.47464
River,36.796474,0.474923
River,36.798091,0.47556
River,36.798653,0.475631
River,36.799215,0.475561
River,36.799848,0.475419
River,36.800691,0.475137
River,36.801254,0.474995
River,36.802378,0.475137
River,36.80294,0.475208
River,36.803573,0.475137
River,36.804065,0.474784
River,36.804979,0.474572
River,36.805401,0.474572
River,36.806244,0.474431
River,36.807228,0.474148
River,36.808072,0.473865
River,36.808986,0.47337
River,36.809618,0.47337
River,36.810672,0.4733
River,36.812148,0.473513
River,36.813203,0.473655
River,36.814187,0.47408
River,36.81517,0.474434
River,36.816084,0.474434
River,36.816787,0.474788
River,36.81756,0.475354
River,36.8177,0.475779
River,36.817841,0.476274
River,36.818192,0.476699
River,36.818754,0.477124
River,36.819246,0.477195
River,36.819457,0.477761
River,36.819527,0.478327
River,36.819527,0.479034
River,36.819456,0.47953
River,36.819245,0.479883
River,36.819105,0.480591
River,36.818894,0.481015
River,36.818683,0.481511
River,36.818753,0.481935
River,36.819034,0.482431
River,36.819315,0.482997
River,36.819596,0.483492
River,36.820088,0.483846
River,36.820509,0.484342
River,36.821212,0.484979
River,36.821704,0.485262
River,36.822055,0.485333
River,36.822266,0.485686
River,36.750645,0.455522
River,36.751078,0.455685
River,36.751727,0.455794
River,36.752268,0.455958
River,36.75243,0.456176
River,36.752484,0.456448
River,36.752267,0.457101
River,36.752105,0.457483
River,36.751943,0.457864
River,36.75178,0.45819
River,36.751726,0.458463
River,36.75178,0.458844
