"","gridID","Patrol.ID","Type","Patrol.Start.Date","Patrol.End.Date","Station","Team","Mandate","Armed","Patrol.Leg.ID","Leader","Patrol.Transport.Type","Waypoint.ID","Waypoint.Date","Waypoint.Time","Last.Modified","Last.Modified.By","Observation.Category.0","Observation.Category.1","Position.Type","Species","Total.number","river_distance","road_distance","water_distance","Number","Dam","North","East","Elevation","Storage.Estimate","Description","Estimated.Class","Permit.Needed","Freeboard..m.","Width..m.","Fetch..m.","Spillway.Width..m.","Height..m.","Water.Depth..m.","Approximate.Volume..m.3."
"260",705,"SMART_001799","Ground","2-Jan-20","2-Jan-20","MRL","Mpala","Security","No",1,"Ramato Lemanyaas","Vehicle",1,"2-Jan-20","10:40:02","1/9/20 9:20","David Hewett","Wildlife Sightings","Live animals",NA,"Greater Kudu",5,263.162288160324,138.489961751699,1769.17683898926,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"261",705,"SMART_002073","Ground","22-Mar-20","22-Mar-20","MRC","NPR 1","Security","No",1,"Gabriel Lekishu","Vehicle",3,"22-Mar-20","9:59:10","3/30/20 10:06","David Hewett","Wildlife Sightings","Live animals",NA,"Grevy's Zebra",1,263.162288160324,138.489961751699,1769.17683898926,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"262",705,"SMART_001876","Ground","13-Jan-20","13-Jan-20","Kikingi","Kikingi","Security","No",1,"Steren Narerio","Motorbike",13,"13-Jan-20","11:06:31","1/31/20 7:44","David Hewett","Wildlife Sightings","Live animals",NA," Warthog",4,263.162288160324,138.489961751699,1769.17683898926,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"263",705,"SMART_001799","Ground","2-Jan-20","2-Jan-20","MRL","Mpala","Security","No",1,"Ramato Lemanyaas","Vehicle",1,"2-Jan-20","10:40:02","1/9/20 9:20","David Hewett","Wildlife Sightings","Live animals",NA,"Hartebeest",4,263.162288160324,138.489961751699,1769.17683898926,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"264",705,"SMART_001972","Ground","23-Feb-20","23-Feb-20","MRL","NPR 1","Tourism","No",1,"Samwel Loroti","Vehicle",3,"23-Feb-20","9:30:14","3/2/20 7:40","David Hewett","Wildlife Sightings","Live animals",NA,"Vulturine guinea fowl",29,263.162288160324,138.489961751699,1769.17683898926,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"265",705,"SMART_001876","Ground","13-Jan-20","13-Jan-20","Kikingi","Kikingi","Security","No",1,"Steren Narerio","Motorbike",13,"13-Jan-20","11:06:31","1/31/20 7:44","David Hewett","Wildlife Sightings","Live animals",NA,"Giraffe",6,263.162288160324,138.489961751699,1769.17683898926,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"266",705,"SMART_001897","Ground","12-Jan-20","12-Jan-20","MRC","NPR 1","Security","No",1,"Eric Raipon Ererii","Vehicle",7,"12-Jan-20","8:11:06","2/5/20 9:16","David Hewett","Wildlife Sightings","Live animals",NA,"Impala",30,263.162288160324,138.489961751699,1769.17683898926,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"267",708,"SMART_001957","Ground","18-Feb-20","18-Feb-20","Mlima Ndege","Mlima Ndege","Security","No",1,"Dennis Saruni Lempoikai","Motorbike",5,"18-Feb-20","13:06:34","2/29/20 7:46","David Hewett","Wildlife Sightings","Live animals",NA,"Grevy's Zebra",10,118.966157950163,66.7478495392203,2869.84166748047,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"268",708,"SMART_001953","Ground","13-Feb-20","13-Feb-20","Mlima Ndege","Mlima Ndege","Security","No",1,"Dennis Saruni Lempoikai","Motorbike",5,"13-Feb-20","15:47:05","2/29/20 7:46","David Hewett","Wildlife Sightings","Live animals",NA," Warthog",7,118.966157950163,66.7478495392203,2869.84166748047,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
"269",708,"SMART_002067","Ground","7-Mar-20","7-Mar-20","MRL","NPR 1","Security","No",1,"Samwel Loroti","Foot",7,"7-Mar-20","9:51:50","3/30/20 10:06","David Hewett","Wildlife Sightings","Live animals",NA,"Hippo",2,118.966157950163,66.7478495392203,2869.84166748047,16,"Nyanja One",36931,264775,"1724","2,516","Rubble Stone ALDEV Wall","A","Maybe",0,30,68,30,3.7,"3.7","2,516"
